नरास्थिमालिन्	397-21
नृत्तप्रिय	398-03
नृत्तशाला	398-03
नृत्तस्थान	398-03
पक्वातिसार	401-07
पंकजज	402-04
पंजीकारक	404-11
पटला	405-04
पटिक्षेप	405-07
पत्राहार	407-21
पत्रपुट	407-21
पत्रवाल	407-21
पत्रभंगि	407-21
पत्ररथेंद्र	407-21
पत्ररथेंद्रकेतु	407-21
पत्ररेखा	407-21
पत्रवल्लरी	407-21
पत्रवल्लि	407-21
पत्रवाज	407-21
पत्रविशेषक	407-21
पत्रशाक	407-21
पत्रिवाह	408-04
पत्नीसन्नहन	408-05
पद्माह्व	410-06
पद्मजात	410-06
पद्मिनीप्रिय	411-02
परान्नपरिपुष्ट	411-19
परपिंडरत	411-19
परमप्रख्य	413-03
परिणीता	417-07
परिष्पं(स्पं)द	421-16
परोष्टि	422-22
पर्यं(ल्यं)क	423-11
पर्यं(ल्यं)कबंध	423-11
पर्यं(ल्यं)कभोगिन्	423-11
पर्वतात्मज	424-22
पवनभुज्	425-24
पवनसुत	425-24
पाकाभिमुख	427-08
पाठकमंजरी	428-18
पाठकशालिनी	428-18
पादांक	430-07
पादकमल	430-07
पादपंकज	430-07
पादत्रा	430-07
पापचर्य	431-06
पारावतपिच्छ	432-32
पारारुप	432-33
पार्थिवनंदन	433-38
पार्थिवसुत	433-38
पार्थिवकन्या	433-38
पिंडाशन	436-41
पिनाकधृत्	438-13
पिप्ल	438-26
पुंस्कटि	440-28
पुंल्लिंग	440-28
पुंल्लिंग	440-28
पुक्कशी	441-02
पुत्तलीदहन	442-12
पुत्रकापुत्र	443-02
पुत्रीपुत्र	443-02
पुत्रकाप्रसू	443-02
पुत्रीप्रसू	443-02
पुत्रकाभर्तृ	443-02
पुत्रीभर्तृ	443-02
पुत्रकासुत	443-02
पुत्रीसुत	443-02
पुरुहू	445-08
पुरुषनाथ	445-09
पुष्करपत्र	446-19
पुष्पलोचन	447-04
पुष्पवर्षण	447-04
पृथातनय	451-21
पृथिवीभुज	451-23
पेशि(शी)कोश	453-15
पेशि(शी)कोष	453-15
पौली	455-17
प्रजापालक	459-42
प्रत्यमित्रम्	461-43
प्रतिकूलोक्ति	461-43
प्रतिलंब	467-08
प्रतिश्यान	467-31
प्रत्त्यापत्ति	470-13
प्रत्युपवेषण	470-44
प्रधर्षणा	472-27
प्रनाली	473-05
प्रलयजलधर	477-18
प्रशत्वरी	480-18
प्रश्नदूति	481-03
प्रसूनवाण	483-06
प्रस्तरणा	483-22
प्राक्चरणा	486-12
प्राक्प्रहार	486-12
प्राणवियोग	487-25
प्रातराशिन्	488-10
प्रातःकर्मन्	488-10
प्रातस्त्रियामा	488-10
प्राप्तप्रसव	489-32
प्रालेयकर	491-12
प्रालेयलेश	491-12
प्रावृतिक	491-27
प्रेतकृत्या	493-28
प्रेषणा	494-15
प्रैय्य	494-21
प्रो(प्रौ)ढांगना	495-34
प्रो(प्रौ)ढोक्ति	495-34
प्रो(प्रौ)ढप्रताप	495-34
प्रो(प्रौ)ढयौवन	495-34
प्रो(प्रौ)ढा	495-35
प्रो(प्रौ)ढिवाद	495-36
फरुबक	497-13
बकव्रतधर	499-16
बदरीफल	499-25
बद्धमनस्	500-01
बद्धधार	500-01
बंधितृ	501-05
बंध्यादुहितृ	502-04
बर्हिःकेश	502-23
बलनिषूदन	502-25
बलिवदन	503-11
बलीभृत्	503-11
बलीमत्	503-11
बल्लवयुवती	504-06
बस्तकरण	504-11
बहिरुपाधि	504-13
बहुधेनुक	504-14
बहुविधि	504-14
बाणावलि	505-12
बाणजाल	505-12
बादरायणसंबंध	506-04
बाधापवाद	506-08
बालचंद्रमस्	506-25
बालपुष्टिका	506-25
बालपुष्टी	506-25
बालभार	506-25
बालभेषज्य	506-25
बालविधवा	506-25
बाहुकुंड	508-06
बिटका	508-21
बिंबौष्ठ	509-05
बिसच्छेद	509-15
बिस्त	509-19
बीजकोष	509-21
बुद्धिपुरःसरम्	510-17
बुधवासर	511-03
बृहत्पाल	511-24
बृहत्स्फिच्	511-24
बृहस्पतिवासर	512-02
बोधातीत	512-10
बोधिसत्व	512-15
ब्रह्म‌ऋषि	512-24
ब्रह्मचर्या	512-24
ब्रह्मतत्व	512-24
ब्रह्मबध	512-24
ब्रह्मसार्ष्टिका	512-24
ब्रह्मस्वहारिन्	512-24
ब्राह्मणवृत्ति	515-07
भग्नोत्साह	517-17
भंगिभक्ति	518-02
भरद्वाजवाजक	520-12
भर्त्सना	520-23
भानुकेशर	524-04
भालपट्ट	524-23
भावितृ	526-02
भिक्षणा	527-12
भिक्षाचर्या	527-13
भिक्षुसंघाती	527-16
भिष्मटा	528-13
भीरुसत्व	529-07
भुजंगेंद्र	530-02
भूतपत्नी	532-03
भूम्यंतर	533-04
भूमिसुता	533-04
भृंगानंद	535-08
भृंगराज्	535-08
भृंगरिट्	535-08
भृशपीडीत	536-06
भोगधर	537-11
भौतिकविद्या	538-12
भौमवासर	538-13
भ्रातुःपुत्र	539-18
भ्लेश्	540-21
मकरीपत्र	541-06
मंगलपुष्प	542-09
मज्जकृत	542-17
मंजुभाषित	543-13
मड्ड(ड्डु)	543-24
मणिप्रत्युप्त	543-26
मण्डूकसरस्	545-07
मत्स्याधानी	546-04
मदापनयन	547-01
मदरक्त	547-01
मदिराशाला	548-06
मद्रंकार	548-12
मधुशत्रु	548-15
मध्याह्नस्नान	549-08
मध्यलोकेश्वर	549-08
मध्येभक्त	550-05
मनस्तस्	551-02
मनोदाह	551-02
मनोयोग	551-02
मंत्रिप्रमुख	554-04
मंदरसानु	555-04
मयूरपत्रिन्	556-05
मरंदक	556-11
मरंदकौकस्	556-11
मरुद्विपप्रिय	556-19
मर्मभिद्	557-12
मलिना	558-06
मस्याधार	559-17
महाकार्तिकी	560-08
महावीज	560-08
महावार्तिक	560-08
महाविषुवसंक्रांति	560-08
महासंक्रांति	560-08
महिषासुरमथिनी	564-07
महिषासुरमर्दनी	564-07
मापति	565-04
मातापुत्रौ	566-39
माद्रीनंदन	568-03
मानधनिका	568-24
मानःशिला	568-25
मानना	569-01
मार्कंडपुराण	570-18
मिथ्याग्रहण	573-11
मिथ्यावार्ता	573-11
मीनगंधिका	574-18
मुकुटि	575-10
मुक्तावयव	575-16
मुखचीरि	575-20
मुख्यचांद्र	576-05
मुच(चु)कुंदप्रसादक	577-02
मुरलीवादन	578-26
मुष्टिबंधन	579-11
मूढसत्व	580-04
मृगरोम	581-24
मृदुपत्र	583-23
यकृत्कोष	589-02
यज्ञसंभार	589-15
यतोभव	590-10
यदुकुलोद्भव	593-03
यदृच्छासंवाद	593-04
यापना	596-29
यामिकापति	597-06
यावत्सत्वम्	597-14
युवराज्	599-14
योगावापक	599-24
रजनिरमण	603-07
रजोमूर्ति	603-08
रथेशा	605-02
रविसंक्रांति	606-15
रसनोपमा	606-16
राजदूत	609-04
राजधुर्	609-04
राजीवाक्ष	610-07
रुशती	613-13
रूपतत्व	614-05
रेखाकर	614-12
लक्षणसन्निपात	617-03
लयालंभ	622-11
लाभेप्सा	624-30
लीलामात्र	627-05
लुप्तप्रतिज्ञ	628-14
लेखपत्र	629-03
लेखपत्रिका	629-03
लोकत्रयी	630-01
लोकवार्ता	630-01
लोहनाद	632-07
वंशपत्र	633-02
वंशपत्र	633-02
वंशीधारिन्	633-06
वधक्रम	637-19
वधस्तंभ	637-19
वधूपक्ष	637-24
वनज्योत्स्ना	638-08
वंदीपाल	639-19
वपुष्प्रकर्ष	639-34
वम्रि	640-13
वम्रिकूट	640-13
वरोरू	640-23
वरबाह्लिक	640-23
वरिष्ट	641-27
वर्वरा	644-19
वर्वरी	644-19
वलज	645-04
वलजा	645-04
वल्कुट	645-28
वल्लूरा	646-09
वल्हीक	646-11
वसंततिलका	647-03
वसुभारा	647-09
वहिनी	649-06
वह्लीक	649-12
वाट्याला	651-12
वाढम्	651-18
वातालि	651-26
वाधना	652-34
वारबूषा	654-02
वारेंद्रि	655-08
वार्ताकी	655-11
वार्ध्रि	655-23
वाहित्त्थ	657-11
विकत्त्थन	657-28
विकत्त्थन	657-28
विकत्त्था	657-29
विक्रयपत्र	658-35
विघ्नेश्वरवाहन	660-09
विजयच्छद	661-16
विदारणा	664-07
विद्याचंचु	664-27
विनाडि	666-26
विमर्दना	671-21
विमार्गगा	671-30
विमोक्षणा	672-06
विरिण	673-20
विवेचना	676-32
विशकंठिन्	677-02
विशिष्टाद्वैतवाद	677-24
विश्रंभपात्र	678-19
विश्रंभभूमि	678-19
विश्रंभस्थान	678-19
विश्वराज	679-03
विश्ववाह्	679-03
विषदर्शनमृत्यु	679-10
विषुवत्संक्रांति	681-01
विष्णुरिंगी	681-16
विसूरणा	682-19
विस्फोटा	682-38
विस्रंसा	683-08
वीक्षणा	684-03
वृत्तचोल	687-03
वेणीबंध	690-17
वेणुलता	690-18
वेतं(दं)ड	690-21
वेतनानपकर्मन्	690-22
वैज्ञिक	693-22
वैद्युताग्नि	694-09
वैद्युतानल	694-09
वैमात्री	694-32
वैरंजिक	694-45
व्यंजनसंधि	696-23
व्ययशुद्धि	698-02
व्युत्त्थिति	701-30
व्योमनाशिका	702-10
शकृत्करी	704-16
शकृत्पिंडक	704-16
शक्यार्थ	705-02
शक्रवास	705-03
शची(चि)भर्तृ	706-08
शततारका	706-16
शतपत्रयोनि	706-16
शंब(व)रासुरवैरिन्	709-14
शर्शरिक	711-18
शशविंदु	712-12
शस्त्रकोष	712-22
शस्यसंपद्	713-05
शातपत्रक	714-16
शामिल	715-05
शालीगोपी	716-04
शालीचूर्ण	716-04
शालीपिष्ट	716-04
शालीभवन	716-04
शालीवाहन	716-04
शालीहोत्र	716-04
शालीहोत्रिन्	716-04
शास्त्रानतिक्रम	717-03
शास्त्रतत्व	717-03
शिल्पक्रिया	719-20
शिह्लक	721-03
शुद्धिपत्र	723-26
शुभानना	724-13
शुभवार्ता	724-13
शुल्वी(ल्बी)	725-01
शुषी	725-08
शून्यमनस्क	725-27
शूर्मिका	726-04
शूर्मी	726-04
शृगालजंबु	726-16
शृंगोच्चय	726-21
शैलपत्र	727-34
श्च्यो(श्चो)तन	730-08
श्याली	730-25
श्येनकरणिका	730-28
श्रपणा	731-10
श्रमणी	731-16
श्रवणपाली	731-20
श्रुताध्ययन	733-04
श्रुतिचोदना	733-05
श्रुतिप्रामाण्य	733-05
श्रोणीतट	734-09
श्रोणीफलक	734-09
श्रोणीबिंब	734-09
श्रोतोरंध्र	734-10
षाट्कौषिक	738-07
संवेदना	741-23
संकलना	745-26
संकीर्तना	746-07
संघट्टना	748-03
सत्रायण	750-10
सत्त्राहन्	750-11
सत्वमेजय	750-14
संधिभंग	754-07
सप्तपत्र	756-10
समरप्रदेश	758-04
सरस्काक	765-37
साधारणत्वं	772-04
सायंमंडन	775-10
सिद्धनदी	779-23
सिह्ली	781-27
सुखारोह	783-11
सुधर्मी	785-01
सुध्युपास्या	785-04
सुमध्या	786-31
सुवर्षिक	788-05
सुवर्षिका	788-05
सूर्येंदुसंगम	792-28
सूर्यसंक्रांति	792-28
सेव्यसेवक	796-10
सौंडि	799-01
सौरसेनी	800-09
स्कंधोपानेय	801-11
स्कंधोपानेय	801-11
स्निग्धदृष्टि	812-07
स्फुलिंगा	816-03
स्रोतोऽञ्जन	819-11
स्वर्णलेखा	822-07
स्वस्रेयी	822-21
हतभाग	825-14
हतसंपद्	825-14
हंबा(भा)रव	826-10
हिंसना	832-17
हिडिंबनिषूदन	833-04
हिडिंबरिपु	833-04
हिडिंबहन्	833-04
हिमाचलजा	833-14
हिमाचलतनया	833-14
हिरण्यबाह	833-18
हेतुहेतुमत्	837-11
हेमबल	837-14
हेलना	838-02
ह्योभव	839-05
ह्लादिता	839-28
